"#name","Norwegian-English dictionary"
"#version","2.4.2"
"#wordcount","8440"
"#idxfilesize","164338"
"#creationTime","2009.01.30"
"#sametypesequence","x"
"#description","Copyright: Converted by swaj under GNU Public License; Version: 1.1"
"#sourceLang","Norwegian"
"#targetLang","English"
"akter","<div class=""article""><div class=""k""><b>akter</b></div>abaft<br/>aft, abaft<br/>aft</div>"
"aktivitet","<div class=""article""><div class=""k""><b>aktivitet</b></div>activity</div>"
"aktuell","<div class=""article""><div class=""k""><b>aktuell</b></div>current</div>"
"aktuell, strøm","<div class=""article""><div class=""k""><b>aktuell, strøm</b></div>current</div>"
"albue","<div class=""article""><div class=""k""><b>albue</b></div>elbow</div>"
"aldeles","<div class=""article""><div class=""k""><b>aldeles</b></div>altogether</div>"
"aldeles, ganske, alt i alt","<div class=""article""><div class=""k""><b>aldeles, ganske, alt i alt</b></div>altogether</div>"
"alder","<div class=""article""><div class=""k""><b>alder</b></div>age</div>"
"aldrende","<div class=""article""><div class=""k""><b>aldrende</b></div>elderly</div>"
"aldri","<div class=""article""><div class=""k""><b>aldri</b></div>never</div>"
"alene","<div class=""article""><div class=""k""><b>alene</b></div>alone, solitary, sole, only<br/>alone<br/>only<br/>solitary</div>"
"alle","<div class=""article""><div class=""k""><b>alle</b></div>each, all, everyone, everybody<br/>everybody<br/>everyone</div>"
"Allehelgensaften","<div class=""article""><div class=""k""><b>Allehelgensaften</b></div>Halloween</div>"
"alltid","<div class=""article""><div class=""k""><b>alltid</b></div>invariably, ever<br/>invariably</div>"
"alltid, noensinne, stadig","<div class=""article""><div class=""k""><b>alltid, noensinne, stadig</b></div>ever</div>"
"allé","<div class=""article""><div class=""k""><b>allé</b></div>avenue</div>"
"alm","<div class=""article""><div class=""k""><b>alm</b></div>elm</div>"
"alminnelig","<div class=""article""><div class=""k""><b>alminnelig</b></div>common, general</div>"
"alminnelig, vanlig, felles","<div class=""article""><div class=""k""><b>alminnelig, vanlig, felles</b></div>common</div>"
"alt","<div class=""article""><div class=""k""><b>alt</b></div>everything, all, the lot<br/>everything<br/>the lot</div>"
"alt i alt","<div class=""article""><div class=""k""><b>alt i alt</b></div>altogether</div>"
"alt, alle","<div class=""article""><div class=""k""><b>alt, alle</b></div>all</div>"
"altan","<div class=""article""><div class=""k""><b>altan</b></div>balcony</div>"
"altmuligmann","<div class=""article""><div class=""k""><b>altmuligmann</b></div>handyman</div>"
"aluminium","<div class=""article""><div class=""k""><b>aluminium</b></div>aluminium</div>"
"alvor","<div class=""article""><div class=""k""><b>alvor</b></div>gravity</div>"
"alvorlig","<div class=""article""><div class=""k""><b>alvorlig</b></div>earnest<br/>grievous, earnest, grave<br/>grievous</div>"
"ambassade","<div class=""article""><div class=""k""><b>ambassade</b></div>embassy</div>"
"ambassador","<div class=""article""><div class=""k""><b>ambassador</b></div>ambassador</div>"
"ambolt","<div class=""article""><div class=""k""><b>ambolt</b></div>anvil</div>"
"analfabet","<div class=""article""><div class=""k""><b>analfabet</b></div>illiterate</div>"
"analfabetisme","<div class=""article""><div class=""k""><b>analfabetisme</b></div>illiteracy</div>"
"ananas","<div class=""article""><div class=""k""><b>ananas</b></div>pine-apple<br/>pineapple, pine-apple<br/>pineapple</div>"
"anbefale","<div class=""article""><div class=""k""><b>anbefale</b></div>commend</div>"
"anbefale, rose","<div class=""article""><div class=""k""><b>anbefale, rose</b></div>commend</div>"
"anbringe på institusjon","<div class=""article""><div class=""k""><b>anbringe på institusjon</b></div>institutionalize</div>"
"and","<div class=""article""><div class=""k""><b>and</b></div>duck</div>"
"and, dukke","<div class=""article""><div class=""k""><b>and, dukke</b></div>duck</div>"
"andel","<div class=""article""><div class=""k""><b>andel</b></div>quota</div>"
"andel, kvote","<div class=""article""><div class=""k""><b>andel, kvote</b></div>quota</div>"
"andre","<div class=""article""><div class=""k""><b>andre</b></div>second</div>"
"anelse","<div class=""article""><div class=""k""><b>anelse</b></div>inkling, hunch<br/>inkling</div>"
"anerkjent","<div class=""article""><div class=""k""><b>anerkjent</b></div>distinguished</div>"
"anerkjent, fornem","<div class=""article""><div class=""k""><b>anerkjent, fornem</b></div>distinguished</div>"
"anførselstegn","<div class=""article""><div class=""k""><b>anførselstegn</b></div>quotationmark</div>"
"angi","<div class=""article""><div class=""k""><b>angi</b></div>denounce</div>"
"angiver","<div class=""article""><div class=""k""><b>angiver</b></div>informer</div>"
"angiveri","<div class=""article""><div class=""k""><b>angiveri</b></div>denunciation</div>"
"angiveri, fordømmelse","<div class=""article""><div class=""k""><b>angiveri, fordømmelse</b></div>denunciation</div>"
"angrep","<div class=""article""><div class=""k""><b>angrep</b></div>attack</div>"
"angrep, angripe","<div class=""article""><div class=""k""><b>angrep, angripe</b></div>attack</div>"
"angrepet av koldbrann","<div class=""article""><div class=""k""><b>angrepet av koldbrann</b></div>gangrenous</div>"
"angripe","<div class=""article""><div class=""k""><b>angripe</b></div>attack</div>"
"ankel","<div class=""article""><div class=""k""><b>ankel</b></div>ankle</div>"
"ankerplass","<div class=""article""><div class=""k""><b>ankerplass</b></div>berth</div>"
"anklage","<div class=""article""><div class=""k""><b>anklage</b></div>impeachment, incriminate<br/>impeachment</div>"
"anklagebenk","<div class=""article""><div class=""k""><b>anklagebenk</b></div>dock</div>"
"anklagebenk, dokk","<div class=""article""><div class=""k""><b>anklagebenk, dokk</b></div>dock</div>"
"ankomme","<div class=""article""><div class=""k""><b>ankomme</b></div>arrive</div>"
"ankomst","<div class=""article""><div class=""k""><b>ankomst</b></div>arrival</div>"
"anlegg","<div class=""article""><div class=""k""><b>anlegg</b></div>gift</div>"
"anliggende","<div class=""article""><div class=""k""><b>anliggende</b></div>business deal<br/>case<br/>matter, business deal, business, case, affair<br/>matter</div>"
"anliggende, affære, sak","<div class=""article""><div class=""k""><b>anliggende, affære, sak</b></div>affair</div>"
"annen","<div class=""article""><div class=""k""><b>annen</b></div>else</div>"
"annensteds","<div class=""article""><div class=""k""><b>annensteds</b></div>elsewhere</div>"
"annonse","<div class=""article""><div class=""k""><b>annonse</b></div>ad, advertisement<br/>ad<br/>advertisement</div>"
"anrope","<div class=""article""><div class=""k""><b>anrope</b></div>invoke</div>"
"anrope, påkalle","<div class=""article""><div class=""k""><b>anrope, påkalle</b></div>invoke</div>"
"anse for","<div class=""article""><div class=""k""><b>anse for</b></div>judge</div>"
"ansette","<div class=""article""><div class=""k""><b>ansette</b></div>employ<br/>engage, hire, employ</div>"
"ansette, leie","<div class=""article""><div class=""k""><b>ansette, leie</b></div>hire</div>"
"ansikt","<div class=""article""><div class=""k""><b>ansikt</b></div>face</div>"
"ansikt utad","<div class=""article""><div class=""k""><b>ansikt utad</b></div>image</div>"
"ansikt utad, bilde","<div class=""article""><div class=""k""><b>ansikt utad, bilde</b></div>image</div>"
"ansikt, stå overfor, tallskive, overflate","<div class=""article""><div class=""k""><b>ansikt, stå overfor, tallskive, overflate</b></div>face</div>"
"ansikts-","<div class=""article""><div class=""k""><b>ansikts-</b></div>facial</div>"
"ansiktsløftning","<div class=""article""><div class=""k""><b>ansiktsløftning</b></div>facelift</div>"
"ansiktsmaske","<div class=""article""><div class=""k""><b>ansiktsmaske</b></div>facepack</div>"
"ansiktsserviett","<div class=""article""><div class=""k""><b>ansiktsserviett</b></div>facetissue</div>"
"ansjos","<div class=""article""><div class=""k""><b>ansjos</b></div>anchovy</div>"
"anspent","<div class=""article""><div class=""k""><b>anspent</b></div>fraught, intent</div>"
"anspent, nervøs","<div class=""article""><div class=""k""><b>anspent, nervøs</b></div>fraught</div>"
"anspore","<div class=""article""><div class=""k""><b>anspore</b></div>incite</div>"
"ansporende","<div class=""article""><div class=""k""><b>ansporende</b></div>incentive</div>"
"anstendig","<div class=""article""><div class=""k""><b>anstendig</b></div>demure</div>"
"anstrenge","<div class=""article""><div class=""k""><b>anstrenge</b></div>exert</div>"
"anstrengelse","<div class=""article""><div class=""k""><b>anstrengelse</b></div>effort</div>"
"anstrengt","<div class=""article""><div class=""k""><b>anstrengt</b></div>constrained</div>"
"anstrøk","<div class=""article""><div class=""k""><b>anstrøk</b></div>hue</div>"
"ansvarlig","<div class=""article""><div class=""k""><b>ansvarlig</b></div>liable</div>"
"ansvarlig, tilbøyelig","<div class=""article""><div class=""k""><b>ansvarlig, tilbøyelig</b></div>liable</div>"
"anta","<div class=""article""><div class=""k""><b>anta</b></div>assume<br/>expect, assume, figure</div>"
"antenne","<div class=""article""><div class=""k""><b>antenne</b></div>antenna, ignite<br/>ignite</div>"
"antenne, følehorn","<div class=""article""><div class=""k""><b>antenne, følehorn</b></div>antenna</div>"
"antennelig","<div class=""article""><div class=""k""><b>antennelig</b></div>ignitable, inflammable<br/>ignitable</div>"
"antikk","<div class=""article""><div class=""k""><b>antikk</b></div>antique</div>"
"antiluftskyts","<div class=""article""><div class=""k""><b>antiluftskyts</b></div>flak</div>"
"antrekk","<div class=""article""><div class=""k""><b>antrekk</b></div>dress</div>"
"antrekk, kle seg, kjole","<div class=""article""><div class=""k""><b>antrekk, kle seg, kjole</b></div>dress</div>"
"antyde","<div class=""article""><div class=""k""><b>antyde</b></div>infer, insinuate, intimate, hint, imply<br/>insinuate</div>"
"antyde, antydning, vink, ymte","<div class=""article""><div class=""k""><b>antyde, antydning, vink, ymte</b></div>hint</div>"
"antyde, fortrolig, uformell","<div class=""article""><div class=""k""><b>antyde, fortrolig, uformell</b></div>intimate</div>"
"antyde, implisere, innebære","<div class=""article""><div class=""k""><b>antyde, implisere, innebære</b></div>imply</div>"
"antydning","<div class=""article""><div class=""k""><b>antydning</b></div>hint</div>"
"apotek","<div class=""article""><div class=""k""><b>apotek</b></div>chemist's shop, drugstore<br/>chemist's shop<br/>drugstore</div>"
"apoteker","<div class=""article""><div class=""k""><b>apoteker</b></div>chemist<br/>druggist, chemist<br/>druggist</div>"
"apparat","<div class=""article""><div class=""k""><b>apparat</b></div>apparatus</div>"
"appelsin","<div class=""article""><div class=""k""><b>appelsin</b></div>orange</div>"
"aprikos","<div class=""article""><div class=""k""><b>aprikos</b></div>apricot</div>"
"april","<div class=""article""><div class=""k""><b>april</b></div>April</div>"
"aquavit","<div class=""article""><div class=""k""><b>aquavit</b></div>gin</div>"
"arbeid","<div class=""article""><div class=""k""><b>arbeid</b></div>employment, job, work<br/>employment<br/>work</div>"
"arbeide","<div class=""article""><div class=""k""><b>arbeide</b></div>labour</div>"
"arbeidsfør","<div class=""article""><div class=""k""><b>arbeidsfør</b></div>ablebodied</div>"
"arbeidsfør, kraftig","<div class=""article""><div class=""k""><b>arbeidsfør, kraftig</b></div>ablebodied</div>"
"arbeidskraft","<div class=""article""><div class=""k""><b>arbeidskraft</b></div>labour</div>"
"arbeidslag","<div class=""article""><div class=""k""><b>arbeidslag</b></div>gang</div>"
"arbeidsledighetstrygd","<div class=""article""><div class=""k""><b>arbeidsledighetstrygd</b></div>dole</div>"
"arbeidstaker","<div class=""article""><div class=""k""><b>arbeidstaker</b></div>employee</div>"
"arbeidsuførhet","<div class=""article""><div class=""k""><b>arbeidsuførhet</b></div>incapacity</div>"
"arbeidsuførhet, inhabilitet","<div class=""article""><div class=""k""><b>arbeidsuførhet, inhabilitet</b></div>incapacity</div>"
"argumentere","<div class=""article""><div class=""k""><b>argumentere</b></div>argue</div>"
"argumentere, drøfte","<div class=""article""><div class=""k""><b>argumentere, drøfte</b></div>argue</div>"
"arkitekt","<div class=""article""><div class=""k""><b>arkitekt</b></div>architect</div>"
"arkiv","<div class=""article""><div class=""k""><b>arkiv</b></div>file</div>"
"arkiv, fil, kartotek","<div class=""article""><div class=""k""><b>arkiv, fil, kartotek</b></div>file</div>"
"arm","<div class=""article""><div class=""k""><b>arm</b></div>arm</div>"
"armatur","<div class=""article""><div class=""k""><b>armatur</b></div>fittings</div>"
"armbånd","<div class=""article""><div class=""k""><b>armbånd</b></div>bracelet</div>"
"armbåndsur","<div class=""article""><div class=""k""><b>armbåndsur</b></div>watch<br/>wrist-watch, watch<br/>wrist-watch</div>"
"arne","<div class=""article""><div class=""k""><b>arne</b></div>hearth</div>"
"arne, peis","<div class=""article""><div class=""k""><b>arne, peis</b></div>hearth</div>"
"aroma","<div class=""article""><div class=""k""><b>aroma</b></div>flavour</div>"
"arr","<div class=""article""><div class=""k""><b>arr</b></div>scar</div>"
"arrest","<div class=""article""><div class=""k""><b>arrest</b></div>detention</div>"
"arrest, forvaring","<div class=""article""><div class=""k""><b>arrest, forvaring</b></div>detention</div>"
"artikkel","<div class=""article""><div class=""k""><b>artikkel</b></div>item</div>"
"arv","<div class=""article""><div class=""k""><b>arv</b></div>heritage, inheritance<br/>heritage<br/>inheritance</div>"
"arve","<div class=""article""><div class=""k""><b>arve</b></div>inherit</div>"
"arvelig","<div class=""article""><div class=""k""><b>arvelig</b></div>hereditary</div>"
"arvelighet","<div class=""article""><div class=""k""><b>arvelighet</b></div>heredity</div>"
"arvestykke","<div class=""article""><div class=""k""><b>arvestykke</b></div>heirloom</div>"
"arving","<div class=""article""><div class=""k""><b>arving</b></div>heir, heiress<br/>heir<br/>heiress</div>"
"askebeger","<div class=""article""><div class=""k""><b>askebeger</b></div>ash-tray</div>"
"asparges","<div class=""article""><div class=""k""><b>asparges</b></div>asparagus</div>"
"asyl","<div class=""article""><div class=""k""><b>asyl</b></div>asylum</div>"
"atten","<div class=""article""><div class=""k""><b>atten</b></div>eighteen</div>"
"attest","<div class=""article""><div class=""k""><b>attest</b></div>certificate</div>"
"attraksjon","<div class=""article""><div class=""k""><b>attraksjon</b></div>feature</div>"
"august","<div class=""article""><div class=""k""><b>august</b></div>August</div>"
"autentisk","<div class=""article""><div class=""k""><b>autentisk</b></div>authentic</div>"
"autentisk, ekte","<div class=""article""><div class=""k""><b>autentisk, ekte</b></div>authentic</div>"
"autobane","<div class=""article""><div class=""k""><b>autobane</b></div>motor road<br/>motorway<br/>super highway<br/>turnpike, super highway, motor road, motorway<br/>turnpike</div>"
"automat","<div class=""article""><div class=""k""><b>automat</b></div>automoton</div>"
"automatisk","<div class=""article""><div class=""k""><b>automatisk</b></div>automatic</div>"
"av","<div class=""article""><div class=""k""><b>av</b></div>for, off<br/>off</div>"
"av vanvare","<div class=""article""><div class=""k""><b>av vanvare</b></div>inadvertently</div>"
"av-gifte","<div class=""article""><div class=""k""><b>av-gifte</b></div>detoxify</div>"
"avbetaling","<div class=""article""><div class=""k""><b>avbetaling</b></div>hirepurchase</div>"
"avbilde","<div class=""article""><div class=""k""><b>avbilde</b></div>depict</div>"
"avbryte","<div class=""article""><div class=""k""><b>avbryte</b></div>heckle, discontinue, interrupt, disconnect<br/>interrupt</div>"
"avbryte, holde opp med","<div class=""article""><div class=""k""><b>avbryte, holde opp med</b></div>discontinue</div>"
"avbryte, kople fra","<div class=""article""><div class=""k""><b>avbryte, kople fra</b></div>disconnect</div>"
"avbrytelse","<div class=""article""><div class=""k""><b>avbrytelse</b></div>interruption, intermission<br/>interruption</div>"
"avdeling","<div class=""article""><div class=""k""><b>avdeling</b></div>department, branch, section, compartment<br/>section</div>"
"avdeling, departement","<div class=""article""><div class=""k""><b>avdeling, departement</b></div>department</div>"
"avdrag","<div class=""article""><div class=""k""><b>avdrag</b></div>instalment</div>"
"avdød","<div class=""article""><div class=""k""><b>avdød</b></div>deceased<br/>departed, deceased<br/>departed</div>"
"avfall","<div class=""article""><div class=""k""><b>avfall</b></div>garbage</div>"
"avfall, søppel","<div class=""article""><div class=""k""><b>avfall, søppel</b></div>garbage</div>"
"avfeldig","<div class=""article""><div class=""k""><b>avfeldig</b></div>decrepit</div>"
"avfolke","<div class=""article""><div class=""k""><b>avfolke</b></div>depopulate</div>"
"avfyring","<div class=""article""><div class=""k""><b>avfyring</b></div>firing</div>"
"avføringsmiddel","<div class=""article""><div class=""k""><b>avføringsmiddel</b></div>laxative</div>"
"avgang","<div class=""article""><div class=""k""><b>avgang</b></div>departure</div>"
"avgang, avvik, avreise","<div class=""article""><div class=""k""><b>avgang, avvik, avreise</b></div>departure</div>"
"avgangseksamen","<div class=""article""><div class=""k""><b>avgangseksamen</b></div>finals</div>"
"avgift","<div class=""article""><div class=""k""><b>avgift</b></div>licence, levy</div>"
"avgift, skatt, pålegge, innkreve","<div class=""article""><div class=""k""><b>avgift, skatt, pålegge, innkreve</b></div>levy</div>"
"avgjørelse","<div class=""article""><div class=""k""><b>avgjørelse</b></div>decision</div>"
"avgjørende","<div class=""article""><div class=""k""><b>avgjørende</b></div>crucial, decisive<br/>crucial<br/>decisive</div>"
"avgrunn","<div class=""article""><div class=""k""><b>avgrunn</b></div>abyss<br/>gulf, abyss</div>"
"avgrunn, havbukt","<div class=""article""><div class=""k""><b>avgrunn, havbukt</b></div>gulf</div>"
"avgud","<div class=""article""><div class=""k""><b>avgud</b></div>idol</div>"
"avgå","<div class=""article""><div class=""k""><b>avgå</b></div>depart</div>"
"avgå, dø, avvike","<div class=""article""><div class=""k""><b>avgå, dø, avvike</b></div>depart</div>"
"avhenge","<div class=""article""><div class=""k""><b>avhenge</b></div>depend</div>"
"avhenge, stole på","<div class=""article""><div class=""k""><b>avhenge, stole på</b></div>depend</div>"
"avhengig","<div class=""article""><div class=""k""><b>avhengig</b></div>addict, addicted<br/>addicted</div>"
"avhengighet","<div class=""article""><div class=""k""><b>avhengighet</b></div>dependence</div>"
"avhengighetsskapende","<div class=""article""><div class=""k""><b>avhengighetsskapende</b></div>addictive</div>"
"avhopp","<div class=""article""><div class=""k""><b>avhopp</b></div>defection</div>"
"avhopper","<div class=""article""><div class=""k""><b>avhopper</b></div>defector</div>"
"avhør","<div class=""article""><div class=""k""><b>avhør</b></div>questioning</div>"
"avis","<div class=""article""><div class=""k""><b>avis</b></div>daily paper<br/>journal, daily paper, newspaper</div>"
"avkjølt","<div class=""article""><div class=""k""><b>avkjølt</b></div>iced</div>"
"avle","<div class=""article""><div class=""k""><b>avle</b></div>engender</div>"
"avlede","<div class=""article""><div class=""k""><b>avlede</b></div>divert, derive, distract</div>"
"avlede, omdirigere, adspre","<div class=""article""><div class=""k""><b>avlede, omdirigere, adspre</b></div>divert</div>"
"avlede, utlede","<div class=""article""><div class=""k""><b>avlede, utlede</b></div>derive</div>"
"avledning","<div class=""article""><div class=""k""><b>avledning</b></div>diversion</div>"
"avleiring","<div class=""article""><div class=""k""><b>avleiring</b></div>deposit</div>"
"avlessing","<div class=""article""><div class=""k""><b>avlessing</b></div>dumping</div>"
"avling","<div class=""article""><div class=""k""><b>avling</b></div>crop<br/>harvest, crop</div>"
"avling, høst, innhøstning, høst, høste","<div class=""article""><div class=""k""><b>avling, høst, innhøstning, høst, høste</b></div>harvest</div>"
"avløp","<div class=""article""><div class=""k""><b>avløp</b></div>drain</div>"
"avmønstring","<div class=""article""><div class=""k""><b>avmønstring</b></div>discharge</div>"
"avreise","<div class=""article""><div class=""k""><b>avreise</b></div>leave, departure</div>"
"avrime","<div class=""article""><div class=""k""><b>avrime</b></div>defrost</div>"
"avsendelse","<div class=""article""><div class=""k""><b>avsendelse</b></div>dispatch</div>"
"avsendelse, rapport, ekspedere","<div class=""article""><div class=""k""><b>avsendelse, rapport, ekspedere</b></div>dispatch</div>"
"avsender","<div class=""article""><div class=""k""><b>avsender</b></div>sender</div>"
"avsette","<div class=""article""><div class=""k""><b>avsette</b></div>depose</div>"
"avsette, vitne","<div class=""article""><div class=""k""><b>avsette, vitne</b></div>depose</div>"
"avskaffe","<div class=""article""><div class=""k""><b>avskaffe</b></div>abolish</div>"
"avskjed","<div class=""article""><div class=""k""><b>avskjed</b></div>dismissal<br/>farewell, dismissal</div>"
"avskjedige","<div class=""article""><div class=""k""><b>avskjedige</b></div>dismiss</div>"
"avskjediget","<div class=""article""><div class=""k""><b>avskjediget</b></div>dismissed</div>"
"avskjære","<div class=""article""><div class=""k""><b>avskjære</b></div>intercept</div>"
"avskoge","<div class=""article""><div class=""k""><b>avskoge</b></div>deforest</div>"
"avskoging","<div class=""article""><div class=""k""><b>avskoging</b></div>deforestation</div>"
"avskrekkende","<div class=""article""><div class=""k""><b>avskrekkende</b></div>forbidding</div>"
"avskrift","<div class=""article""><div class=""k""><b>avskrift</b></div>copy</div>"
"avskrift, kopi","<div class=""article""><div class=""k""><b>avskrift, kopi</b></div>copy</div>"
"avskrivning","<div class=""article""><div class=""k""><b>avskrivning</b></div>depreciation</div>"
"avskrivning, verdiforringelse","<div class=""article""><div class=""k""><b>avskrivning, verdiforringelse</b></div>depreciation</div>"
"avsky","<div class=""article""><div class=""k""><b>avsky</b></div>abhor<br/>detest<br/>disgust<br/>loathe, loathing, detest, disgust, abhor<br/>loathe</div>"
"avsky, vemmelse","<div class=""article""><div class=""k""><b>avsky, vemmelse</b></div>loathing</div>"
"avskyelig","<div class=""article""><div class=""k""><b>avskyelig</b></div>abominable<br/>beastly, abominable, detestable, abhorrent<br/>detestable</div>"
"avskyelig, dyrisk","<div class=""article""><div class=""k""><b>avskyelig, dyrisk</b></div>beastly</div>"
"avskyelig, vemmelig","<div class=""article""><div class=""k""><b>avskyelig, vemmelig</b></div>abhorrent</div>"
"avskyelighet","<div class=""article""><div class=""k""><b>avskyelighet</b></div>abomination</div>"
"avslag","<div class=""article""><div class=""k""><b>avslag</b></div>denial</div>"
"avslutning","<div class=""article""><div class=""k""><b>avslutning</b></div>ending</div>"
"avslutte","<div class=""article""><div class=""k""><b>avslutte</b></div>finish</div>"
"avslutte, finpuss, slutt, sluttstrøk, oppløp","<div class=""article""><div class=""k""><b>avslutte, finpuss, slutt, sluttstrøk, oppløp</b></div>finish</div>"
"avslå","<div class=""article""><div class=""k""><b>avslå</b></div>deny, decline</div>"
"avslått","<div class=""article""><div class=""k""><b>avslått</b></div>rejected</div>"
"avsløre","<div class=""article""><div class=""k""><b>avsløre</b></div>disclose</div>"
"avsløre, røpe","<div class=""article""><div class=""k""><b>avsløre, røpe</b></div>disclose</div>"
"avsløring","<div class=""article""><div class=""k""><b>avsløring</b></div>disclosure, exposure<br/>disclosure</div>"
"avsløring, utsetting, eksponering","<div class=""article""><div class=""k""><b>avsløring, utsetting, eksponering</b></div>exposure</div>"
"avsmak","<div class=""article""><div class=""k""><b>avsmak</b></div>distaste</div>"
"avsporing","<div class=""article""><div class=""k""><b>avsporing</b></div>derailment</div>"
"avstamning","<div class=""article""><div class=""k""><b>avstamning</b></div>extraction</div>"
"avstand","<div class=""article""><div class=""k""><b>avstand</b></div>distance, offset<br/>offset</div>"
"avstand, distanse","<div class=""article""><div class=""k""><b>avstand, distanse</b></div>distance</div>"
"avta","<div class=""article""><div class=""k""><b>avta</b></div>cease, decrease, lessen, decline</div>"
"avta, opphøre","<div class=""article""><div class=""k""><b>avta, opphøre</b></div>cease</div>"
"avtale","<div class=""article""><div class=""k""><b>avtale</b></div>accommodation<br/>agreement<br/>date, rendezvous, accommodation, agreement, fix<br/>rendezvous</div>"
"avtrykk","<div class=""article""><div class=""k""><b>avtrykk</b></div>imprint, impress, impression</div>"
"avvenning","<div class=""article""><div class=""k""><b>avvenning</b></div>detixification</div>"
"avvente","<div class=""article""><div class=""k""><b>avvente</b></div>abide</div>"
"avverge","<div class=""article""><div class=""k""><b>avverge</b></div>fend off</div>"
"avvik","<div class=""article""><div class=""k""><b>avvik</b></div>aberration, deviation, departure<br/>deviation</div>"
"avvike","<div class=""article""><div class=""k""><b>avvike</b></div>deviate, depart, deflect<br/>deviate</div>"
"avvikle","<div class=""article""><div class=""k""><b>avvikle</b></div>liquidate</div>"
"avvise","<div class=""article""><div class=""k""><b>avvise</b></div>denounce, discredit, flunk</div>"
