Norwegian,English
beslektet,kindred
besluttsomhet,determination
besstanddel,ingredient
bestefar,grand-father
bestemme,decide determine
bestemmelse,determination
"bestemmelse, besluttsomhet",determination
bestemmelsessted,destination
bestemor,"grandmother, grandma, grandmom"
bestemt,definite
bestrebelse,endeavour
bestå,consist
besvime,faint
besværlig,cumbersome
besøke,"visit, attend"
besøke ofte,haunt
betale,pay
bete,beet
betenkeligheter,qualms
betennelse,inflammation
betent,inflamed
"betent, opphisset",inflamed
betingelse,condition
betjene,attend
betone,accentuate
betong,concrete
"betong, konkret",concrete
betoning,accentuation
"betoning, aksentuering",accentuation
betro,confide entrust
betydelig,considerable
betydningsfull,grave
"betydningsfull, alvorlig, grav",grave
betydningsløs,frivolous
beundre,admire
beundrer,fan
bevaring,conservation
bevege,"move, induce"
"bevege, forårsake, overtale",induce
bevegelses-,locomotive
beverte,"entertain, feast"
"beverte, more, underholde",entertain
bevilge,grant
bevilgning,grant
bevilling,licence
bevis,evidence
"bevis, vitneutsagn",evidence
bevisst,conscious
bevissthet,consciousness
bevisstløs,unconscious
bevoktning,guard
bibeskjeftigelse,avocation
bibliotek,library
bibliotekar,librarian
bidra,contribute
bie,bee
bifall,approbation
biff,beefsteak steak
bikube,beehive hive
bil,"automobile, car, motor-car"
bilde,"image, picture"
"bilde, maleri",picture
bilhorn,hooter
biljard,billiards
bille,beetle
billedtekst,caption
"billedtekst, overskrift",caption
billett,"note, ticket"
billettpris,fare
billig,cheap inexpensive
bilskjerm,fender
bilverksted,garage
"bilverksted, bensinstasjon, garasje",garage
bind,bandage
binde på hender og føtter,hogtie
bindemiddel,fixative
bindestrek,hyphen
binding,fixation
"binding, fiksering",fixation
biskoppelig,episcopalian
bispedømme,diocese
bispeembete,episcopate
bissel,bridle
bister,grim
"bister, uhyggelig",grim
bitter,bitter
bitterhet,gall
bjeff,"yelp, bark, yap"
"bjeff, bjeffe",bark
"bjeff, bjeffe, gneldre",yap
bjeffe,"yelp, bark, yap"
"bjeffe, bjeff",yelp
bjelke,"beam, girder"
"bjelke, bærebjelke",girder
"bjelke, ståle",beam
bjørn,bear
blad,"sheet, leaves, leaf"
"blad, løv",leaf
bladsalat,lettuce
blafre,"flicker, flap"
blafring,flap
blakk,broke
blande,"blend, mingle, shuffle, mix"
blande seg opp i,interfere
blank,glossy
bleie,"diaper, swaddling cloth"
bleik,livid
blek,pale sallow
blekemiddel,bleach
blekk,ink
"blekk, blekk",ink
blekksprut,cuttle
blemme,blister
blende,"dazzle, glare"
blendende,glaring
"blendende, grell",glaring
blender,diaphragm
bli,get
bli redd,quail
blikk,"glare, glance, look, tin can"
"blikk, utseende, se, mine, synes",look
blind,blind
blind forelskelse,infatuation
blindgate,impasse
blindt forelsket,infatuated
blindtarm,appendix
blindvei,"blind alley, cul-de-sac"
blink,flash
"blink, glimt, blinke",flash
blinke,"flash, glint"
blinklys,"direction-indicator, flasher"
blitz,flasher
"blitz, blinklys",flasher
blitzpære,flashbulb
blod,blood
blodig,gory
blodlegeme,corpuscle
blodstillende middel,haemostatic
bloduttredelse,extravasation
blokkere,interlock
blokkering,jam
blomkål,cauliflower
blomst,"bloom, flower"
"blomst, blomstre",flower
blomsterhandler,florist
blomstre,flower
blomstrende,flourishing
blomstring,flowering
blond,blond
blottet for,"destitute, devoid"
bluse,blouse
bluss,flare
"bluss, flakke, blusse",flare
blusse,flare
bly,lead
blyaktig,leaden
blyant,pencil
blyfri,unleaded
blå,blue
blåbær,bilberry
blåkopi,blueprint
blære,"bladder, bubble"
blø,bleed
blødning,haemorrhage
bløffe,humbug
bløffmaker,humbug
"bløffmaker, lureri, lure, bløffe",humbug
bløt,soft
"bløt, søt",soft
bløtkake,layercake
bo,"dwell, estate, live"
"bo, leve",live
bok,book
bokføre,enter
bokhandel,bookshop
bokstav,letter
"bokstav, brev",letter
bokstavelig,literal
bolig,"dwelling, habitation, housing"
bolle,roll
boltre seg,frolic
bombe,bomb
bommert,blunder
bomull,"cotton, wadding"
bomullslærret,calico
bonde,"countryman, farmer, peasant"
bondegård,grange
bopel,domicile
bor,drill
"bor, drill, eksersis",drill
bord,table
bordbønn,grace
boretårn,derrick
"boretårn, lossebom, lastebom",derrick
borger,citizen
bortføre,abduct
"bortføre, kidnappe",abduct
bortfører,abductor
"bortfører, kidnapper",abductor
bortføring,abduction
"bortføring, kidnapping",abduction
bot,fine
brakkmark,fallow
brann,fire
brann-,incendiary
brannslukkings-apparat,fire-extinguisher
brannstiftelse,arson
brannstifter,"arsonist, incendiary"
"brannstifter, brann-",incendiary
bransje,line
"bransje, linjere, fôre, kante, snor, linje, strek",line
bratt,"abrupt, bluff"
"bratt, plutselig",abrupt
bred,broad
breddegrad,latitude
bregne,fern
breiflabb,frogfish
breke,bleat
brekkjern,crowbar
brekkmiddel,emetic
brems,gadfly
"brems, klegg",gadfly
bremsebelegg,brake lining
brennbar,inflammable
"brennbar, antennelig",inflammable
brenne,"burn, incinerate"
brennende,ardent
"brennende, ildfull",ardent
brennevin,"brandy, liquor"
brennevin og vann,grog
"brennevin og vann, grogg",grog
brennpunkt,focus
brensel,fuel
"brensel, drivstoff",fuel
brette,fold
brev,letter
brevkort,postcard
briller,"glasses, spectacles"
bringe,bring
bringe av ledd,dislocate
bringe i fare,"endanger, jeopardize"
bringebær,raspberry
bro,bridge
brodd,barb
"brodd, tagg, mothake",barb
brodere,embroider
broderi,embroidery
broderlig,fraternal
brokk,hernia
brolegge,cobble
bronkitt,bronchitis
bronse,bronze
bror,brother
brorskap,fraternity
brosje,brooch
brud,bride
brudd,"encroachment, fracture"
"brudd, overgrep",encroachment
bruddstykke,fragment
bruk,"way, custom"
"bruk, skikk",custom
"bruk, vei",way
bruke,exert
brukket,fractured
bruksanvisning,instructions
brumlebasse,growler
brun,brown
bruse,fizz
brusk,gristle
brutto,gross
bry,inconvenience
bryderi,bother
bryllup,"wedding, wedding-party"
bryllupsreise,honeymoon
brysk,curt
brysom,inconvenient
"brysom, ubeleilig, vanskelig",inconvenient
bryst,"bosom, chest, breast"
brystvorte,nipple
bryte fram,erupt
"bryte fram, være i utbrudd",erupt
bryte stein,quarry
bryter,switch
bråke,din
"bråke, larm, larm",din
brød,"bread, loaf"
"brød, drive dank",loaf
brøk-,fractional
brøkdel,fraction
brøle,bawl
budbringer,messenger
buk,"abdomen, belly, tummy"
"buk, mave",belly
bukser,"trousers, pants"
bukseseler,"braces, suspenders"
buksesmekk,fly
bukt,bay
buktet,"bent, curved"
buljong,bouillon
bulk,dent
bulke,dent
"bulke, bulk",dent
bunn,ground
bunnfall,dregs
bunt,hank
buntmaker,furrier
bur,cage hutch
buss-stopp,"bus stop, busstop"
butikk,"shop, store, boutique"
"butikk, forretning",store
by,"city, town"
bybud,porter
"bybud, portier, bærer",porter
bygd,village
"bygd, landsby",village
bygg,barley
byggverk,edifice
bygning,building
bygsel,lease
"bygsel, bygsle, leiekontrakt, leie",lease
bygsle,lease
bygslet grunn,leasehold
bykse,bounce
"bykse, sprette",bounce
byll,abscess
byrde,burden
byrå,bureau
bysse,galley
bysteholder,bra
bytte,"exchange, loot"
"bytte, plyndre, tyvegods",loot
byttehandel,barter
bål,fire
bånd,ligament
båre,bier
båt,boat
bære,"carry, wear"
bærebjelke,girder
bærer,porter
bøddel,"executioner, hangman"
bølge,corrugate
bølgeblikk,corrugated iron
bølle,hooligan
"bølle, ramp",hooligan
bønne,bean
bønnfalle,entreat implore
børs,stock exchange
"børs, pengepung, pung",wallet
børse,gun
børste,brush
bøtele,fine
bøtte,bucket
"bøtte, spann",bucket
bøye,inflect
bøye av,deflect
"bøye av, avvike",deflect
"bøye, modulere",inflect
bøyelig,flexible
"bøyelig, fleksibel",flexible
bøyelighet,flexibility
"bøyelighet, fleksibilitet",flexibility
bøyle,hoop
"bøyle, tønnebånd",hoop
bøyning,inflection
cd-spiller,cd-player
cembalo,harpsichord
circa,about
daddel,date
"daddel, avtale",date
dag,day
dagbok,"diary, journal"
"dagbok, avis",journal
dagdriver,idler loafer
daggry,dawn
daglig,daily
dagligstue,"livingroom, sitting room, sitting-room"
"dagligstue, sal",sitting-room
dagligvarer,groceries
dal,valley
dame,lady
dameundertøy,lingerie
damp,fume
dampbåt,steamship
damspill,checkers
danne,form
danning,formation
"danning, formasjon",formation
dans,dance
Dansk,Danish
datasnok,hacker
datter,daughter
datterlig,filial
"datterlig, sønnlig",filial
De,you
de,them they
de selv,yourself
debatt,debate
debet,debit
debitor,debtor
dedisere,inscribe
"dedisere, skrive inn",inscribe
defensiv,defensive
"defensiv, i forsvar",defensive
definere,define
"definere, forklare",define
definisjon,definition
definitiv,definitive
deg,you
degradere,degrade
"degradere, fornedre",degrade
degradering,degradation
deilig,"delicious, lovely"
deise,flop
dekk,"outer cover, tyre"
dekket av rim,frosted
dekning,"hiding, indemnity"
"dekning, pryl",hiding
"dekning, skadeserstatning",indemnity
dekorasjon,decoration
"dekorasjon, pynt",decoration
dekorere,decorate
deksel,"cover, lid"
"deksel, lokk, omslag, skjul",cover
del,"part, piece share"
delaktighet,complicity
dele,divide
dele seg,fork
dele ut,"dispensation, distribute"
"dele ut, utdeling",dispensation
delegere,delegate
"delegere, utsending",delegate
delfin,dolphin
delikat,"delicate, dainty"
deling,division
"deling, divisjon",division
Dem,you
Dem selv,yourselves
"Dem selv, dere selv",yourselves
dementere,disclaim
demning,"dam dike, embankment"
"demning, voll",embankment
demokrati,democracy
demonstrere,demonstrate
demontere,"disassemble, dismantle, dismount"
demontering,disassembly
dempe,"fade, quell, curb, dim"
"dempe, matt, svak, uklar",dim
"dempe, undertrykke",quell
den,it
den som,he who
denaturert sprit,methylated spirit
dens,its
departement,department
deponere,deposit
deportere,deport
depositum,deposit
depresjon,depression
der,there yonder
dere,you
dere selv,yourselves
deres,"your, yours"
derfor,"hence, therefore"
"derfor, følgelig",hence
desember,December
desertere,desert
"desertere, forlate, ørken",desert
desertering,desertion
desillusjonere,disillusion
desinfeksjon,disinfection
desinfeksjonsmiddel,disinfectant
desinfisere,"disinfect, fumigate"
desperat,desperate
"desperat, fortvilet",desperate
dessert,dessert
dessuten,furthermore
destillasjon,distillation
destillere,distil
det,it
"det, den",it
detalj,detail
detaljert,detailed
detektiv,detective
detonasjon,detonation
dets,its
devaluere,devalue
devaluering,devaluation
diabetiker,diabetic
diagnose,diagnosis
diagnostisere,diagnose
diagram,graph
dialekt,dialect
"dialekt, målføre",dialect
diamant,diamond
diaré,diarrhoea
didaktisk,didactic
"didaktisk, belærende",didactic
diett,diet
dikte,fable
dikte opp,fabricate
diktning,fiction
dimbryter,dipswitch
dimensjon,"dimension, gauge"
dimme,blur
din,"your, yours"
"din, deres",yours
dine,your
"dine, din, deres, ditt",your
dingle,dangle
direkte,direct
direktør,director
dis,"fog, haze"
"dis, tåke, skodde",fog
diset,foggy
disharmoni,discord
"disharmoni, uenighet, dissonans",discord
disig,hazy
disiplin,discipline
"disiplin, disiplinere",discipline
disiplinere,discipline
disippel,disciple
diskett,disc floppydisk
diskettstasjon,discdrive
diskresjon,discretion
diskriminere,discriminate
diskriminering,discrimination
diskrèt,discreet
diskusjon,discussion
diskutabel,disputable
diskutere,discuss
"diskutere, drøfte",discuss
disponibel,available
"disponibel, disponibel",available
dissonans,discord
distanse,distance
distrahere,distract
"distrahere, avlede",distract
distraksjon,distraction
"distraksjon, forvirring",distraction
distrè,absent minded
ditt,your
diverse,diverse
dividere,divide
divisjon,division
djevel,devil fiend
djevelunge,imp
"djevelunge, skøyer",imp
dobbel,dual
dobbelt,duplicate
dog,yet
"dog, enda, likevel, ennå",yet
dokk,dock
dokkområde,dockland
dokter,physician
"dokter, lege",physician
doktor,doctor
"doktor, lege",doctor
dokument,"paper, document"
"dokument, dokumentere",document
dokumentar,documentary
dokumentere,document
dokumentmappe,briefcase
dolk,dagger
dom,judgement
"dom, skjønn",judgement
dominere,dominate
domkirke,cathedral
dommedag,doomsday
dommer,judge
domsmyndighet,jurisdiction
domstol,court
donasjon,donation
donor,donor
dop,"dope, drug"
doven,"lazy, idle"
dovenskap,"idleness, laziness"
dovne seg,lounge
dra,"haul, drag"
drake,dragon
drakt,habit
"drakt, vane",habit
dramatisk,dramatic
drapere,drape
drastisk,extreme
"drastisk, ekstreme, ytterlighet, ekstrem, ytterst",extreme
drenere,drain
"drenere, avløp",drain
drepe,kill
drikke,"drink, imbibe"
drikkepenger,gratuity tip
drill,drill
dristig,daring
drive,drift
drive dank,"idle, loaf"
"drive dank, doven, uvirksom",idle
drive fram,impel
"drive fram, tilskynde",impel
drivhus,greenhouse
drivstoff,fuel
dronning,queen
drosje,cab taxi
drosjeholdeplass,cab-stand
drue,grape
drukkenbolt,drunkard
drunke,drown
drypp,drip
dryppe,drip
dråpe,drip
"dråpe, dryppe, drypp",drip
drøfte,"discuss, argue"
drøfting,discussion
"drøfting, diskusjon, forhandling",discussion
drøm,dream
drømme,dream
"drømme, drøm",dream
drømmende,dreamy
du,you
du selv,yourself
"du selv, de selv",yourself
due,"dove, pigeon"
duell,duel
"duell, duellere",duel
duellere,duel
duft,fragrance
duftende,fragrant
dugg,dew
dugge,dew
"dugge, dugg",dew
dukke,"doll, duck, dip"
dukke opp,emerge
dukkert,dip
dum,dense
dumdristig,"audacious, foolhardy"
dumpe,dump
"dumpe, søppelhaug",dump
dumping,dumping
"dumping, avlessing",dumping
dun,floss
dunbløt,fluffy
dunste,fume
"dunste, damp, rase, ryke, røyk",fume
dupp,float
dusin,dozen
dusj,shower
duskregn,drizzle
dvele,dwell
"dvele, bo",dwell
dvelende,lingering
"dvelende, langvarig",lingering
dverg,dwarf gnome
dybde,depth
dykk,dive
dykke,dive
dykker,diver
dyktig,"able, capable, clever"
dyktighet,"ability, capability"
dynamikk,dynamics
dynamisk,dynamic
dynamitt,dynamite
dyp,"deep, low, profound, depth"
"dyp, dybde",depth
dyppe,"dip, immerse"
"dyppe, dukkert, dukke",dip
"dyppe, senke",immerse
dyr,"animal, costly, expencive, pricey"
"dyr, kostbar",pricey
dyrekretsen,zodiac
dyrisk,beastly
dyrke,"cultivate, grow"
"dyrke, vokse",grow
dyster,"gloomy, glum"
"dyster, nedtrykt",glum
dytte,hustle
dåd,exploit
dåp,christening
dårlig,"bad, nasty, poor, miserable"
dårlig fordøyelse,indigestion
"dårlig, heslig, stygg",nasty
"dårlig, sturen, fattig",miserable
dårligere,inferior
dårskap,folly
dø,"die, depart"
dø hen,fade
død,"dead, death"
"død, døden",death
dødbringende,fatal
dødelig,lethal
døden,death
døende,dying
dømme,"judge, doom"
"dømme, dommer, anse for",judge
døpe,christen
dør,door
dørhammer,knocker
dørhåndtak,doorknob
dørklinke,doorhandle
dørslag,colander
døråpning,doorway
døse,doze
døsig,drowsy
døv,deaf
døvhet,deafness
døvstum,deafmute
døyt,jot
ebbe,ebb
edderkopp,spider
eddik,vinegar
edelsten,gem
effekt,effect
effekter,effects
"effekter, eiendeler",effects
effektiv,"effective, efficient"
"effektiv, virksom",effective
effektivitet,efficiency
effektuere,execute
"effektuere, fullbyrde, henrette, utføre",execute
effektuering,execution
"effektuering, utførelse, henrettelse",execution
eføy,ivy
egenhet,fitness
egenskap,quality
egg,"edge, egg"
"egg, kant",edge
egge,"instigate, incite, goad"
"egge, anspore",incite
"egge, piggstav",goad
"egge, tilskynder",instigate
eggeplomme,yolk
eggleder,Fallobian tube
egoisme,egoism
egoist,egoist
egoistisk,egoistic
eiendeler,effects
eiendom,"estate, possession, property"
eiendommelig,quaint
"eiendommelig, underlig",quaint
eiendomsmegler,estate-agent
eik,oak
einer,juniper
ekko,echo
eklipse,eclipse
"eklipse, formørkelse",eclipse
eksamen,"degree, examination"
eksaminasjon,examination
eksaminere,examine
eksempel,example instance
eksersis,drill
eksil,"exile, expatriate"
eksistens,"existence, being"
"eksistens, tilværelse",existence
eksistere,exist
eksisterende,existing
eksklusiv,exclusive
eksos,exhaust
eksosrør,exhaustpipe
ekspansiv,expansive
"ekspansiv, utvidbar, meddelsom",expansive
ekspedere,dispatch
ekspedisjon,expedition
ekspeditt,expeditious
eksperiment,experiment
ekspert,expert
eksplodere,explode
eksplosiv,explosive
eksplosjon,explosion
eksponent,exponent
"eksponent, talsmann",exponent
eksponering,exposure
eksport,"exportation, export"
"eksport, utførsel, eksportere",export
eksportere,export
ekspress,express
"ekspress, ilbud, expresstog",express
ekstase,ecstasy
